id,title,titre,department,ministere,downloads_telechargements,month_mois,year_annee
791de1ec-7fc8-48f1-a4e4-8bbaebc67080,"Single Window Initiative, Integrated Import Declaration (IID) - Regulated Commodities - Data Element Matching Criteria Table","Initiative du guichet unique, Déclaration intégrée des importations (DII) - Marchandises réglementées — tables de critères de correspondance des éléments de données",Canada Border Services Agency,Agence des services frontaliers du Canada,501,11,2024
06d31e10-a2a8-4d53-9ff3-567714a0a9f3,Canadian Charter of Rights and Freedoms in various languages,Charte canadienne des droits et libertés en différentes langues,Canadian Heritage,Patrimoine canadien,132,11,2024
5abd4282-d5b0-4ac5-ac78-7210a61befdf,Canadian Charter of Rights and Freedoms in Indigenous languages,Charte canadienne des droits et libertés en langues autochtones,Canadian Heritage,Patrimoine canadien,28,11,2024
20e546a9-f626-4e14-bdac-56f6803daf5b,GC HR and Pay - Unified Actions for Pay,RH et paye du GC – Actions unifiées pour la paye,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,25,11,2024
60236652-5aa7-4452-b2e1-7f96197e927a,Policies - Temporary Foreign Worker Program,Politiques - Programme des travailleurs étrangers temporaires,Employment and Social Development Canada,Emploi et Développement social Canada,22,11,2024
92615302-ffa9-4c8b-9e60-d1cc1e7f2b23,Evaluation of RCMP Police Dog Services - Final report,Évaluation des Services cynophiles de la GRC - Rapport final,Royal Canadian Mounted Police,Gendarmerie royale du Canada,19,11,2024
3abb5c74-3bbf-4647-b1c1-fe8390e98223,The Criminal Code of Canada,Le Code criminel du Canada,Department of Justice Canada,Ministère de la Justice Canada,18,11,2024
40b50513-1356-4211-ae08-53580dbd32fa,RCMP Transparency and Trust Strategy Enabled by Open Government,Stratégie de transparence et de confiance facilitée par le gouvernement ouvert de la GRC,Royal Canadian Mounted Police,Gendarmerie royale du Canada,12,11,2024
3d660210-da7f-4223-938a-fdc2e691f52b,GC HR and Pay – AI Virtual Assistant,RH et paye du GC – Assistant virtuel (IA),Public Services and Procurement Canada,Services publics et Approvisionnement Canada,11,11,2024
cea9985f-5e0f-425e-9b7e-e1d122272c56,Algorithmic Impact Assessment - ATIP Online Request Service,Évaluation d'impact algorithmique - Service de demande d’AIPRP en ligne,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,9,11,2024
50a1f207-ef60-4f9a-9d97-9b2bfa45a17a,Canada’s Fifth and Sixth Reports on the Convention on the Rights of the Child,Les cinquième et sixième rapports du Canada sur la Convention relative aux droits de l’enfant,Canadian Heritage,Patrimoine canadien,8,11,2024
061ee9d1-a04a-4590-a381-df8527390f68,"GC HR and Pay - Algorithmic Impact Assessment (AIA), Leveraging Artificial Intelligence (AI) for backlog reduction: AI assistant prototype","RH et paye du GC - L’évaluation de l’incidence algorithmique,  Tirer parti de l’intelligence artificielle (IA) pour réduire les retards : prototype d’assistant IA",Public Services and Procurement Canada,Services publics et Approvisionnement Canada,7,11,2024
0968ddc5-710e-4388-b379-184764df6f4c,Darlington New Nuclear Project - Information and Reports,Projet de nouvelle centrale nucléaire de Darlington -  Informations et rapports,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,7,11,2024
17f69360-123a-4bd2-8eef-bba94468071f,"Immigration, Refugees and Citizenship Canada Glossaries","Glossaires d’Immigration, Réfugiés et Citoyenneté Canada","Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",7,11,2024
8e56f67a-4d16-4b53-8e0b-e020f6931f65,RCMP Release Framework of Data and Information,Cadre de diffusions des données et informations de la GRC,Royal Canadian Mounted Police,Gendarmerie royale du Canada,6,11,2024
9c5d6819-ceb1-4828-ad1c-2c082f7c80ea,Transition book for the new President of the Canadian Space Agency,Cahier de transition pour nouvelle Présidente de l'Agence spatiale canadienne,Canadian Space Agency,Agence spatiale canadienne,6,11,2024
aeece494-87aa-41f9-9ac4-101461b5792a,Library and Archives Canada Quarterly Financial Reports 2024-2025,Rapports financiers trimestriels 2024-2025 de Bibliothèque et Archives Canada,Library and Archives Canada,Bibliothèque et Archives Canada,6,11,2024
